project,bug type,file,function,line,path length,report,result,category,issue,submit,count
rrdtool,RL,rrdtoolmodule.c,_rrdtool_xport,747,8,report-89352b.html,TP,created passed to non-stealing,-,No operations within one year,1
rrdtool,RL,rrdtoolmodule.c,_rrdtool_xport,749,8,report-1a6dd6.html,TP,created passed to non-stealing,-,No operations within one year,1
rrdtool,RL,rrdtoolmodule.c,_rrdtool_lastupdate,1013,16,report-0ee6bb.html,TP,leak on error handling branch,-,No operations within one year,1
rrdtool,RL,rrdtoolmodule.c,_rrdtool_fetch_cb_wrapper,1090,8,report-3b432d.html,TP,leak on error handling branch,-,No operations within one year,1
rrdtool,UaR,rrdtoolmodule.c,_rrdtool_lastupdate,1034,19,report-c0bfa3.html,TP,use after created passed to decrease,-,No operations within one year,1
rrdtool,UaR,rrdtoolmodule.c,_rrdtool_fetch_cb_wrapper,1147,22,report-1f0810.html,TP,use after created passed to decrease,-,No operations within one year,1
rrdtool,UaR,rrdtoolmodule.c,_rrdtool_fetch,459,11,report-ccb78b.html,TP,use after created passed to steal,-,No operations within one year,1
rrdtool,UaR,rrdtoolmodule.c,_rrdtool_graph,628,14,report-afeddd.html,TP,use after created passed to steal,-,No operations within one year,1
rrdtool,UaR,rrdtoolmodule.c,_rrdtool_xport,763,20,report-503983.html,TP,use after created passed to steal,-,No operations within one year,1
rrdtool,UaR,rrdtoolmodule.c,_rrdtool_xport,766,20,report-11079d.html,TP,use after created passed to steal,-,No operations within one year,1
dbus,RL,dbus_bindings/conn-methods.c,Connection__register_object_path,756,32,report-9deefd.html,TP,leak on error handling branch,-,Issue is not enabled,1
dbus,RL,dbus_bindings/mainloop.c,dbus_py_insert_mainloop_types,160,11,report-ea78d9.html,TP,leak on error handling branch,-,Issue is not enabled,2
dbus,RL,dbus_bindings/message-append.c,_signature_string_from_pyobject,320,40,report-2ac658.html,TP,leak on error handling branch,-,Issue is not enabled,1
dbus,RL,dbus_bindings/message-append.c,dbus_py_Message_append,414,26,report-f0f2ea.html,FP,noreturn,-,False positive,1
dbus,RL,dbus_bindings/message-append.c,dbus_py_Message_append,446,35,report-8f3c74.html,FP,noreturn,-,False positive,1
dbus,RL,dbus_bindings/message-append.c,_message_iter_append_string,490,28,report-21227b.html,TP,leak on error handling branch,-,Issue is not enabled,1
dbus,RL,dbus_bindings/message-append.c,_message_iter_append_multi,722,41,report-b56bdd.html,TP,leak on error handling branch,-,Issue is not enabled,1
dbus,RL,dbus_bindings/message.c,Message_get_path_decomposed,544,17,report-c58513.html,TP,leak on error handling branch,-,Issue is not enabled,1
dbus,RL,dbus_bindings/module.c,PyInit__dbus_bindings,401,163,report-a8aea3.html,TP,leak on error handling branch,-,Issue is not enabled,1
dbus,RL,dbus_bindings/server.c,DBusPyServer_set_auth_mechanisms,123,60,report-5911ce.html,TP,leak on error handling branch,-,Issue is not enabled,1
dbus,RL,test/dbus_py_test.c,UnusableMainLoop,102,20,report-02ad8b.html,TP,pure leak,-,Issue is not enabled,1
duplicity,RL,duplicity/_librsyncmodule.c,_librsync_new_deltamaker,188,10,report-a80c0e.html,TP,leak on error handling branch,https://gitlab.com/duplicity/duplicity/-/issues/128,fixed,1
duplicity,RL,duplicity/_librsyncmodule.c,moduleinit,483,7,report-117c91.html,TP,created passed to non-stealing,https://gitlab.com/duplicity/duplicity/-/issues/129,fixed,1
duplicity,RL,duplicity/_librsyncmodule.c,moduleinit,485,7,report-c3da48.html,TP,created passed to non-stealing,https://gitlab.com/duplicity/duplicity/-/issues/129,fixed,1
NumPy,RL,numpy/core/src/_simd/_simd_convert.inc,simd_sequence_from_iterable,87,11,report-7fbd6f.html,TP,leak on error handling branch,cf19a9ca8f13efe8d8dff550043cf9c9e5f7f9d3,Fixed before submitting,1
NumPy,RL,numpy/core/src/multiarray/array_coercion.c,PyArray_DiscoverDTypeAndShape_Recursive,1075,23,report-bdf365.html,TP,leak on error handling branch,https://github.com/numpy/numpy/issues/19288,fixed,15
NumPy,RL,numpy/core/src/multiarray/array_method.c,boundarraymethod_repr,474,8,report-c8fdc0.html,TP,pure leak,https://github.com/numpy/numpy/issues/19931,fixed,1
NumPy,RL,numpy/core/src/multiarray/arrayfunction_override.c,array_implement_c_array_function_creation,407,19,report-f5e33e.html,TP,leak on error handling branch,https://github.com/numpy/numpy/issues/21532,issued,1
NumPy,RL,numpy/core/src/multiarray/calculation.c,__New_PyArray_Std,407,26,report-a7dae8.html,TP,leak on error handling branch,https://github.com/numpy/numpy/issues/21532,issued,1
NumPy,RL,numpy/core/src/multiarray/descriptor.c,_convert_from_array_descr,435,30,report-347302.html,TP,leak on error handling branch,https://github.com/numpy/numpy/issues/21532,issued,6
NumPy,RL,numpy/core/src/multiarray/descriptor.c,_convert_from_array_descr,549,64,report-3e48a7.html,TP,leak on error handling branch,https://github.com/numpy/numpy/issues/21532,issued,6
NumPy,RL,numpy/core/src/multiarray/descriptor.c,PyArray_CastScalarToCtype,1792,29,report-8db89e.html,TP,leak on error handling branch,https://github.com/numpy/numpy/issues/19287,fixed,2
NumPy,RL,numpy/core/src/multiarray/descriptor.c,arraydescr_setstate,2697,21,report-d3830d.html,TP,leak on error handling branch,https://github.com/numpy/numpy/issues/21532,issued,1
NumPy,RL,numpy/core/src/multiarray/descriptor.c,arraydescr_setstate,2698,27,report-f9b533.html,TP,leak on error handling branch,https://github.com/numpy/numpy/issues/21532,issued,1
NumPy,RL,numpy/core/src/multiarray/descriptor.c,arraydescr_setstate,2800,50,report-b4258c.html,TP,leak on error handling branch,https://github.com/numpy/numpy/issues/21532,issued,1
NumPy,RL,numpy/core/src/multiarray/getset.c,array_struct_get,675,18,report-42895d.html,TP,leak on error handling branch,https://github.com/numpy/numpy/issues/21532,issued,1
NumPy,RL,numpy/core/src/multiarray/methods.c,array_setstate,2005,33,report-d15060.html,TP,leak on error handling branch,https://github.com/numpy/numpy/issues/21532,issued,1
NumPy,RL,numpy/core/src/multiarray/multiarraymodule.c,PyInit__multiarray_umath,4673,10,report-dab3b2.html,TP,leak on error handling branch,https://github.com/numpy/numpy/issues/19307,fixed,1
NumPy,RL,numpy/core/src/multiarray/nditer_pywrap.c,npyiter_multi_index_set,1596,16,report-d708ed.html,TP,pure leak,https://github.com/numpy/numpy/issues/19375,fixed,1
NumPy,RL,numpy/core/src/multiarray/number.c,__New_PyArray_Std,270,34,report-fbd6d9.html,TP,leak on error handling branch,https://github.com/numpy/numpy/issues/21532,issued,1
NumPy,RL,numpy/core/src/multiarray/number.c,is_scalar_with_conversion,423,30,report-5bd392.html,TP,pure leak,https://github.com/numpy/numpy/issues/19376,fixed,1
NumPy,RL,numpy/core/src/multiarray/usertypes.c,PyArray_RegisterCastFunc,296,11,report-9d9216.html,FP,unmodeled behavior,-,False positive,1
NumPy,RL,numpy/core/src/umath/ufunc_object.c,execute_fancy_ufunc_loop,1528,24,report-2c767e.html,FP,unmodeled behavior,-,False positive,2
NumPy,RL,numpy/core/src/umath/ufunc_object.c,execute_fancy_ufunc_loop,1532,21,report-94d845.html,FP,unmodeled behavior,-,False positive,1
NumPy,RL,numpy/core/src/umath/ufunc_object.c,PyUFunc_RegisterLoopForDescr,5376,10,report-397d33.html,TP,leak on error handling branch,https://github.com/numpy/numpy/issues/19337,fixed,1
NumPy,RL,numpy/core/src/umath/ufunc_object.c,PyUFunc_RegisterLoopForType,5487,33,report-dc9217.html,TP,leak on error handling branch,https://github.com/numpy/numpy/issues/19336,fixed,1
NumPy,RL,numpy/core/src/umath/umathmodule.c,initumath,283,4,report-c7a933.html,TP,created passed to non-stealing,https://github.com/numpy/numpy/issues/21532,issued,1
NumPy,RL,numpy/core/src/umath/umathmodule.c,initumath,284,4,report-ee4e9c.html,TP,created passed to non-stealing,https://github.com/numpy/numpy/issues/21532,issued,1
NumPy,RL,numpy/core/src/umath/umathmodule.c,initumath,285,4,report-0b9cee.html,TP,created passed to non-stealing,https://github.com/numpy/numpy/issues/21532,issued,1
NumPy,RL,numpy/core/src/umath/umathmodule.c,initumath,286,4,report-afba91.html,TP,created passed to non-stealing,https://github.com/numpy/numpy/issues/21532,issued,1
NumPy,RL,numpy/core/src/umath/umathmodule.c,initumath,287,4,report-08c0c8.html,TP,created passed to non-stealing,https://github.com/numpy/numpy/issues/21532,issued,1
NumPy,RL,numpy/fft/_pocketfft.c,PyInit__pocketfft_internal,2372,7,report-ab547b.html,TP,leak on error handling branch,https://github.com/numpy/numpy/issues/21532,issued,1
NumPy,RL,numpy/linalg/lapack_litemodule.c,PyInit_lapack_lite,396,7,report-9bedd0.html,TP,leak on error handling branch,https://github.com/numpy/numpy/issues/21532,issued,1
NumPy,UaR,numpy/core/src/multiarray/ctors.c,PyArray_FromAny,1681,55,report-adaa87.html,TP,use after decrement on captured,https://github.com/numpy/numpy/issues/19878,fixed,1
NumPy,UaR,numpy/core/src/multiarray/ctors.c,PyArray_Zeros,2870,16,report-0b2473.html,TP,use after decrement on captured,https://github.com/numpy/numpy/issues/19859,fixed,4
NumPy,UaR,numpy/core/src/multiarray/descriptor.c,arraydescr_names_set,2204,19,report-1cd19d.html,TP,use after created passed to decrease,https://github.com/numpy/numpy/issues/19851,fixed,1
NumPy,UaR,numpy/core/src/umath/ufunc_object.c,_get_normalized_typetup,4637,64,report-edd85d.html,TP,use after created passed to decrease,https://github.com/numpy/numpy/issues/19848,confirmed,1
NumPy,UaR,numpy/core/src/_simd/_simd.c,PyInit__simd,67,19,report-d20a89.html,TP,use after created passed to steal,-,closed,1
NumPy,UaR,numpy/core/src/multiarray/descriptor.c,_convert_from_array_descr,527,56,report-03c8b1.html,TP,use after created passed to steal,-,closed,5
NumPy,UaR,numpy/core/src/multiarray/descriptor.c,_convert_from_array_descr,589,63,report-1cb399.html,TP,use after created passed to steal,-,closed,6
NumPy,UaR,numpy/core/src/multiarray/descriptor.c,_convert_from_list,697,60,report-14801d.html,TP,use after created passed to steal,https://github.com/numpy/numpy/issues/19847,closed,1
NumPy,UaR,numpy/core/src/multiarray/descriptor.c,_convert_from_dict,1157,29,report-37fc0d.html,TP,use after created passed to steal,-,closed,1
NumPy,UaR,numpy/core/src/multiarray/descriptor.c,_convert_from_dict,1199,40,report-ed62a9.html,TP,use after created passed to steal,-,closed,1
NumPy,UaR,numpy/core/src/multiarray/descriptor.c,_convert_from_dict,1208,32,report-936d5b.html,TP,use after created passed to steal,-,closed,1
NumPy,UaR,numpy/core/src/multiarray/descriptor.c,arraydescr_setstate,2895,61,report-a6f290.html,TP,use after created passed to steal,-,closed,1
NumPy,UaR,numpy/core/src/multiarray/descriptor.c,arraydescr_field_subset_view,3410,23,report-089bdc.html,TP,use after created passed to steal,-,closed,4
PyTorch,RL,torch/csrc/Layout.cpp,initializeLayouts,22,14,report-e2a925.html,TP,created passed to non-stealing,https://github.com/pytorch/pytorch/issues/77839,confirmed,1
PyTorch,RL,torch/csrc/MemoryFormat.cpp,initializeMemoryFormats,22,14,report-09d8df.html,TP,created passed to non-stealing,https://github.com/pytorch/pytorch/issues/77839,confirmed,1
PyTorch,RL,torch/csrc/autograd/python_function.cpp,unpack_saved_variables,699,12,report-1f661d.html,FP,unmodeled behavior,-,False positive,1
PyTorch,RL,torch/csrc/fx/fx_init.cpp,patch_function,89,10,report-64c00e.html,TP,pure leak,-,Function deleted,1
PyTorch,RL,torch/csrc/fx/fx_init.cpp,initFx,133,7,report-135821.html,TP,created passed to non-stealing,-,Function deleted,1
SciPy,RL,scipy/integrate/_odepackmodule.c,PyInit__odepack,830,5,report-0bfe48.html,TP,leak on error handling branch,https://github.com/scipy/scipy/issues/16231,fixed,1
SciPy,RL,scipy/integrate/_quadpackmodule.c,PyInit__quadpack,33,5,report-77bbba.html,TP,leak on error handling branch,https://github.com/scipy/scipy/issues/16231,fixed,1
SciPy,RL,scipy/interpolate/_rbfinterp_pythran.cpp,PyInit__rbfinterp_pythran,2301,9,report-52c40a.html,TP,pure leak,-,Function deleted,1
SciPy,RL,scipy/interpolate/src/_fitpackmodule.c,PyInit__fitpack,1554,5,report-a43576.html,TP,leak on error handling branch,https://github.com/scipy/scipy/issues/16231,fixed,1
SciPy,RL,scipy/ndimage/src/_ctest.c,py_filter2d,90,17,report-3e77e6.html,TP,leak on error handling branch,https://github.com/scipy/scipy/issues/16236,fixed,1
SciPy,RL,scipy/ndimage/src/nd_image.c,Py_FindObjects,888,28,report-c5db6d.html,TP,leak on error handling branch,https://github.com/scipy/scipy/issues/16235,fixed,1
SciPy,RL,scipy/ndimage/src/nd_image.c,PyInit__nd_image,1184,5,report-3eb20e.html,TP,leak on error handling branch,https://github.com/scipy/scipy/issues/16231,fixed,1
SciPy,RL,scipy/optimize/_group_columns.cpp,PyInit__group_columns,631,9,report-72ee50.html,TP,created passed to non-stealing,-,Function deleted,1
SciPy,RL,scipy/optimize/_lsap_module.c,PyInit__lsap_module,121,5,report-e2207c.html,TP,leak on error handling branch,https://github.com/scipy/scipy/issues/16231,fixed,1
SciPy,RL,scipy/optimize/_minpackmodule.c,PyInit__minpack,32,5,report-be4614.html,TP,leak on error handling branch,https://github.com/scipy/scipy/issues/16231,fixed,1
SciPy,RL,scipy/signal/_max_len_seq_inner.cpp,PyInit__max_len_seq_inner,232,9,report-ad95e0.html,TP,created passed to non-stealing,-,Function deleted,1
SciPy,RL,scipy/signal/_spectral.cpp,PyInit__spectral,386,9,report-35e974.html,TP,created passed to non-stealing,-,Function deleted,1
SciPy,RL,scipy/signal/sigtoolsmodule.c,PyInit_sigtools,1425,5,report-24e435.html,TP,leak on error handling branch,https://github.com/scipy/scipy/issues/16231,fixed,1
SciPy,RL,scipy/signal/splinemodule.c,PyInit_spline,558,5,report-076730.html,TP,leak on error handling branch,https://github.com/scipy/scipy/issues/16231,fixed,1
SciPy,RL,scipy/sparse/linalg/dsolve/_superlu_utils.c,superlu_python_module_free,46,17,report-fd73a1.html,TP,pure leak,https://github.com/scipy/scipy/issues/16232,issued,118
SciPy,RL,scipy/sparse/linalg/dsolve/_superlu_utils.c,superlu_python_module_malloc,114,15,report-690360.html,FP,incomplete path,-,False positive,107
